,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
111,31,Union Berlin,3,1,Werder Bremen,1.88,3.48,4.10
112,31,VfL Wolfsburg,0,2,Borussia Dortmund,2.84,3.57,2.32
113,31,Bayer Leverkusen,3,1,Eintracht Frankfurt,2.24,3.60,2.95
114,31,RB Leipzig,2,0,VfB Stuttgart,1.38,4.98,7.32
115,31,Borussia Monchengladbach,5,0,Arminia Bielefeld,1.48,4.30,6.48
116,31,Schalke 04,1,2,Hertha Berlin,4.82,3.97,1.67
117,32,VfB Stuttgart,2,1,Augsburg,1.75,3.90,4.44
118,32,Borussia Dortmund,3,2,RB Leipzig,2.30,3.63,2.83
119,32,TSG Hoffenheim,4,2,Schalke 04,1.36,5.13,7.98
120,32,Werder Bremen,0,0,Bayer Leverkusen,4.14,3.76,1.78
121,32,VfL Wolfsburg,3,0,Union Berlin,1.79,3.68,4.18
122,32,Bayern Munchen,6,0,Borussia Monchengladbach,1.38,5.32,6.73
123,32,FC Koln,1,4,SC Freiburg,2.16,3.55,3.14
124,32,Eintracht Frankfurt,1,1,FSV Mainz 05,1.65,4.09,4.63
125,32,Hertha Berlin,0,0,Arminia Bielefeld,1.86,3.53,4.06
126,33,Schalke 04,4,3,Eintracht Frankfurt,8.18,5.45,1.33
127,33,Arminia Bielefeld,1,1,TSG Hoffenheim,3.05,3.54,2.20
128,33,Augsburg,2,0,Werder Bremen,2.52,3.23,2.73
129,33,Bayer Leverkusen,1,1,Union Berlin,1.79,3.71,4.12
130,33,Borussia Monchengladbach,1,2,VfB Stuttgart,1.73,4.08,4.03
131,33,SC Freiburg,2,2,Bayern Munchen,7.41,5.40,1.34
132,33,Hertha Berlin,0,0,FC Koln,2.16,3.38,3.24
133,33,FSV Mainz 05,1,3,Borussia Dortmund,5.46,4.53,1.50
134,33,RB Leipzig,2,2,VfL Wolfsburg,1.90,3.65,3.80
135,34,Bayern Munchen,5,2,Augsburg,1.16,7.85,14.25
136,34,Borussia Dortmund,3,1,Bayer Leverkusen,1.63,4.18,4.73
137,34,Eintracht Frankfurt,3,1,SC Freiburg,1.91,3.95,3.76
138,34,FC Koln,1,0,Schalke 04,1.36,5.33,7.19
139,34,TSG Hoffenheim,2,1,Hertha Berlin,2.19,3.74,2.98
140,34,VfB Stuttgart,0,2,Arminia Bielefeld,2.35,3.65,2.74
141,34,Union Berlin,2,1,RB Leipzig,3.22,3.77,2.05
142,34,Werder Bremen,2,4,Borussia Monchengladbach,2.53,3.68,2.50
143,34,VfL Wolfsburg,2,3,FSV Mainz 05,1.71,3.83,4.56
